Author;AuthorULAN;AuthorULANLabel;AuthorNationality;BiographyLabel;AuthorBirth;AuthorDeath;AuthorBirthLong;AuthorBirthLat;AuthorDeathLong;AuthorDeathLat;AuthorBirthCity;AuthorDeathCity;CountModifiers;CountModifiers_Contact;CountModifiers_Neighbours;CountWorks;CountWorks_Modified;CountWorks_Contact;CountWorks_Neighbours;PercWorks_Modified;PercWorks_Contact;PercWorks_Neighbours
VIANI Antonio Maria;ulan:500115130;Viani, Antonio Maria;Italian (culture or style);Italian painter and architect, ca. 1555-ca. 1635;1550.0;1645.0;10.033333;45.116667;;;Cremona;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
JACOVACCI Francesco;ulan:500002591;Jacovacci, Francesco;Italian (culture or style);Italian painter, 1838-1908;1838.0;1908.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
DUQUESNOY François;ulan:500115495;Du Quesnoy, François;Flemish (culture or style);Flemish sculptor and draftsman, ca. 1594-1643, active in Italy;1594.0;1643.0;4.3333330000000005;50.833333;10.316667;43.55;Saint-Gilles - Sint-Gillis;Livorno;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PACETTI Vincenzo;ulan:500045892;Pacetti, Vincenzo;Italian (culture or style);Italian sculptor, restorer, and collector, ca. 1745-1820;1735.0;1820.0;12.483333;41.9;12.483333;41.9;Rome;Rome;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MEO DEL CAPRINO;ulan:500186656;Meo da Caprino;Italian (culture or style);Italian architect, ca. 1430-1501;1420.0;1501.0;11.316667;43.783333;;;Florence;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MONACO Pietro;ulan:500007349;Monaco, Pietro;Italian (culture or style);Italian printmaker, mosaicist, 1710-after 1775;1710.0;1775.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
LEAL Valdes;ulan:500025701;Valdés Leal, Juan de;Spanish (culture or style);Spanish painter, draftsman, and sculptor, 1622-1690;1622.0;1690.0;-5.986944;37.377222;-5.986944;37.377222;Seville;Seville;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
DIANA Giacinto;ulan:500006966;Diana, Giacinto;Italian (culture or style);Italian painter, 1730-1803;1730.0;1803.0;14.116667;40.816667;14.25;40.833333;Pozzuoli;Naples;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
VICTORS Jan;ulan:500007951;Victors, Jan;Dutch (culture or style);Dutch painter, 1619-after 1676;1619.0;1700.0;4.916667;52.35;120.0;-5.0;Amsterdam;Langi;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
DUPERAC Etienne;ulan:500000071;Dupérac, Etienne;French (culture or style);French architect, painter, and engraver, ca. 1525-1604;1520.0;1604.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MATHAM Jacob;ulan:500029969;Matham, Jacob;Dutch (culture or style);Dutch engraver and print publisher, 1571-1631;1571.0;1631.0;4.65;52.366667;4.65;52.366667;Haarlem;Haarlem;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
VINCENT Francois-Andre;ulan:500026118;Vincent, François-André;French (culture or style);French painter and draftsman, 1746-1816;1746.0;1816.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
LEFEBVRE Claude;ulan:500020709;Lefebvre, Claude;French (culture or style);French painter, 1632-1675;1632.0;1675.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
WHITE Robert;ulan:500012135;White, Robert;British (modern);English engraver, 1645-1703;1645.0;1703.0;-0.093145;51.514248;-0.093145;51.514248;City of London;City of London;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MOMO Giuseppe;ulan:500233369;Momo, Giuseppe;Italian (culture or style);Italian architect, contemporary;1850.0;2080.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
WHEATLEY Francis;ulan:500017459;Wheatley, Francis;British (modern);British painter and draftsman, 1747-1801;1747.0;1801.0;-0.093145;51.514248;-0.093145;51.514248;City of London;City of London;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
BRUEGHEL Peeter;ulan:500023420;Brueghel, Pieter the Younger;Belgian (modern);Flemish painter, 1564/1565-1637/1638;1564.0;1638.0;4.3333330000000005;50.833333;4.401514;51.213886;Saint-Gilles - Sint-Gillis;Antwerp;3.0;1.0;2.0;8.0;3.0;1.0;2.0;0.375;0.125;0.25
GRAMMATICA Antiveduto;ulan:500015547;Gramatica, Antiveduto;Italian (culture or style);Italian painter, 1571-1626;1571.0;1626.0;;;12.483333;41.9;;Rome;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
PIAZZA Martino;ulan:500001668;Piazza, Martino;Italian (culture or style);Italian painter, born 1475-1480, died ca. 1530;1475.0;1533.0;;;;;;;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
PRUDENTI Bernardino;ulan:500073974;Prudenti, Bernardino;Italian (culture or style);Italian painter, active 17th century;1600.0;1724.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PORPORA Paolo;ulan:500010154;Porpora, Paolo;Italian (culture or style);Italian painter, born 1617, died 1670-1680;1617.0;1680.0;14.25;40.833333;;;Naples;;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
BEMBO Gian Francesco;ulan:500001954;Bembo, Gian Francesco;Italian (culture or style);Italian painter, ca. 1480-1543;1470.0;1543.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MORELLI Cosimo;ulan:500008943;Morelli, Cosimo;Italian (culture or style);Italian architect, 1732-1812;1732.0;1812.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
GAMBERINI Giovacchino;ulan:500004454;Gamberini, Giovacchino;Italian (culture or style);Italian painter, born 1859, active 1886-1889;1859.0;1959.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
NOLDE Emil;ulan:500003109;Nolde, Emil;German (culture, style, period);German painter and printmaker, 1867-1956;1867.0;1956.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
RUIJSCHER Jan;ulan:500029215;Ruischer, Johannes;Dutch (culture or style);Dutch etcher, draftsman, and painter, ca. 1625-after 1675;1615.0;1695.0;5.533333;53.2;;;Franeker;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
BEMBO Bonifacio;ulan:500021037;Bembo, Bonifacio;Italian (culture or style);Italian painter and illuminator, active 1447-1478, died before 1482;1415.0;1482.0;;;;;;;2.0;1.0;1.0;12.0;9.0;3.0;6.0;0.75;0.25;0.5
MIGNARD Nicolas;ulan:500028110;Mignard, Nicholas;French (culture or style);French painter, 1606-1668;1606.0;1668.0;4.085244;48.300727;2.333333;48.866667;Troyes;Paris;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
PRONK Cornelis;ulan:500010052;Pronk, Cornelis;Dutch (culture or style);Dutch artist, 1691-1759;1691.0;1759.0;4.85;52.566667;;;Alkmaar;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PAOLINI Pietro;ulan:500005439;Paolini, Pietro;Italian (culture or style);Italian painter, 1603-1681;1603.0;1681.0;10.2167;43.8333;10.2167;43.8333;Unknown;Unknown;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
GUIDOBONO Bartolomeo;ulan:500000649;Guidobono, Bartolomeo;Italian (culture or style);Italian painter, 1654-1709;1654.0;1709.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MERCIER Philippe;ulan:500005005;Mercier, Phillipe;French (culture or style);French painter, 1689-1760, active in England;1689.0;1760.0;13.4;52.516667000000005;-0.093145;51.514248;Berlin;City of London;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
LORENZETTO;ulan:500016487;Lorenzetto;Italian (culture or style);Italian sculptor, architect, 1490-1541;1490.0;1541.0;11.25;43.766667;12.483333;41.9;Florence;Rome;3.0;0.0;3.0;20.0;14.0;0.0;14.0;0.7;0.0;0.7
VOET Jacob Ferdinand;ulan:500020271;Voet, Jakob-Ferdinand;Flemish (culture or style);Flemish painter, 1639-ca. 1700;1639.0;1710.0;;;;;;;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
SGUANCI Aldo;ulan:500054958;Sguanci, Aldo;Italian (culture or style);Italian painter and sculptor, 1885-1933;1885.0;1933.0;11.25;43.766667;11.25;43.766667;Florence;Florence;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
NAUWINCX Herman;ulan:500005117;Naiwincx, Herman;Flemish (culture or style);Flemish draftsman, painter, and etcher, 1623-after 1651;1623.0;1661.0;4.85;51.95;10.0;53.55;Schoonhoven;Hamburg;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
RICHMOND sir William Blake;ulan:500012779;Richmond, William Blake;British (modern);English painter, sculptor, and designer, 1842-1921;1842.0;1921.0;-0.093145;51.514248;-0.093145;51.514248;City of London;City of London;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
BELZONI Giovanni Battista;ulan:500099434;Belzoni, Giovanni Baptista;Italian (culture or style);Italian engineer, 1778-1823;1778.0;1823.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PARS William;ulan:500021450;Pars, William;British (modern);English painter, 1742-1782;1742.0;1782.0;-0.093145;51.514248;12.483333;41.9;City of London;Rome;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
FLIPART Joseph;ulan:500025408;Flipart, Charles Joseph;French (culture or style);French painter, printmaker, 1721-1797;1721.0;1797.0;2.333333;48.866667;-3.683333;40.4;Paris;Madrid;3.0;2.0;1.0;7.0;5.0;4.0;1.0;0.7142857142857143;0.5714285714285714;0.14285714285714285
ROSSI Nicola Maria;ulan:500021556;Rossi, Nicola Maria;Italian (culture or style);Italian painter, ca. 1690-1758;1685.0;1758.0;14.25;40.833333;14.25;40.833333;Naples;Naples;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
BOITO Camillo;ulan:500022711;Boito, Camillo;Italian (culture or style);Italian architect, author, 1836-1914;1836.0;1914.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PELLIZZARI Giambattista;ulan:500065717;Pellizzari, Giovanni Battista;Italian (culture or style);Italian painter, 1598-ca. 1660;1598.0;1670.0;11.0;45.45;11.883333;45.416667;Verona;Padua;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
FANTONI Andrea;ulan:500060566;Fantoni, Andrea;Italian (culture or style);Italian sculptor and architect, 1659-1734;1659.0;1734.0;9.983333;45.883333;9.983333;45.883333;San Lorenzo di Rovetta;San Lorenzo di Rovetta;1.0;0.0;1.0;7.0;1.0;0.0;1.0;0.14285714285714285;0.0;0.14285714285714285
STORCK Jan;ulan:500018432;Storck, Jacobus;Dutch (culture or style);Dutch artist, active ca. 1660-1686;1630.0;1720.0;4.916667;52.35;4.916667;52.35;Amsterdam;Amsterdam;1.0;1.0;0.0;6.0;2.0;2.0;0.0;0.3333333333333333;0.3333333333333333;0.0
ARALDI Alessandro;ulan:500021410;Araldi, Alessandro;Italian (culture or style);Italian painter, born ca. 1460, died 1528 or 1529;1450.0;1529.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
FASOLATO Agostino;ulan:500055011;Fasolato, Agostino;Italian (culture or style);Italian sculptor, active ca. 1743-1753;1703.0;1803.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
SFORZA Antonio Maria;ulan:500068493;Sforza, Antonio Maria;Italian (culture or style);Italian illuminator, died 1519;1419.0;1519.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PACECCO DE ROSA;ulan:500027958;Rosa, Francesco de;Italian (culture or style);Italian painter, 1607-1656;1607.0;1654.0;14.25;40.833333;14.25;40.833333;Naples;Naples;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PALISSY Bernard;ulan:500027684;Palissy, Bernard;French (culture or style);French ceramicist, painter, and glassblower, 1509-1590;1509.0;1590.0;0.626641;44.199912;2.333333;48.866667;Agen;Paris;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
SEEKATZ Johann Konrad;ulan:500029713;Seekatz, Johann Conrad;German (culture, style, period);German painter, 1719-1768;1719.0;1768.0;8.168056;49.569167;8.649444;49.870556;Grünstadt;Darmstadt;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
SCHALCKEN Godfried;ulan:500000937;Schalcken, Godfried;Dutch (culture or style);Dutch painter, 1643-1706;1643.0;1706.0;4.8;51.683333000000005;4.3;52.083333;Drimmelen;The Hague;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
CAVAGNA Giovanni Paolo;ulan:500027076;Cavagna, Giovanni Paolo;Italian (culture or style);Italian painter, ca. 1550-1627;1550.0;1627.0;9.716667;45.683333000000005;9.716667;45.683333000000005;Seriate;Seriate;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
NICOLLE Victor Jean;ulan:500009313;Nicolle, Victor Jean;French (culture or style);French painter, engraver, and draftsman, 1754-1826;1754.0;1826.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
PITTONI Girolamo;ulan:500081301;Pittoni, Girolamo;Italian (culture or style);Italian sculptor and architect, 1504-ca. 1550;1504.0;1560.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MONACO Guglielmo;ulan:500332322;Monaco, Guglielmo;Italian (culture or style);Italian founder, active 1451, died 1489;1411.0;1489.0;;;14.25;40.833333;;Naples;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
VILIGIARDI Arturo;ulan:500013814;Viligiardi, Arturo;Italian (culture or style);Italian painter, sculptor, and architect, 1869-1936;1869.0;1936.0;11.33;43.318000000000005;;;Siena;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
BERETTONI Niccolo;ulan:500004386;Berrettoni, Niccolò;Italian (culture or style);Italian painter, 1637-1682;1637.0;1682.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
SERRA Luigi;ulan:500013983;Serra, Luigi;Italian (culture or style);Italian painter, draftsman, and etcher, 1846-1888;1846.0;1888.0;11.351;44.507;11.351;44.507;Bologna;Bologna;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
RANIERI DI UGOLINO;ulan:500005521;Rainieri;Italian (culture or style);Italian painter, active 13th century;1181.0;1271.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
STRY (van) Jacob;ulan:500027835;Strij, Jacob van;Dutch (culture or style);Dutch painter and printmaker, 1756-1815;1756.0;1815.0;4.666667;51.8;4.666667;51.8;Dordrecht;Dordrecht;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
HOGENBERG Franz;ulan:500000956;Hogenberg, Frans;Netherlandish;Netherlandish painter, printmaker, and publisher, ca. 1540-ca. 1590;1530.0;1600.0;4.479327;51.028298;6.95;50.933333000000005;Mechelen;Cologne;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
LODI Gaetano;ulan:500031445;Lodi, Gaetano;Italian (culture or style);Italian painter and decorator, 1830-1886;1830.0;1886.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
GIAMPICCOLI Marco Sebastiano;ulan:500141582;Giampiccoli, Marco Sebastiano;Italian (culture or style);Italian artist, 1722-1782;1722.0;1782.0;;;;;;;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
GOUDT Hendrick;ulan:500115705;Goudt, Hendrik;Dutch (culture or style);Dutch engraver, painter, 1583-1648;1583.0;1648.0;4.3;52.083333;5.133333;52.083333;The Hague;Utrecht;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
GRAMICCIA Lorenzo;ulan:500008554;Gramiccia, Lorenzo;Italian (culture or style);Italian painter, 1702-1795;1702.0;1795.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
DUFY Raoul;ulan:500024166;Dufy, Raoul;French (culture or style);French painter, designer, and ceramicist, 1877-1953;1877.0;1953.0;0.1333329999999999;49.5;5.780787999999999;43.959812;Le Havre;Alpes-de-Haute-Provence;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
LOMI Aurelio;ulan:500009837;Lomi, Aurelio;Italian (culture or style);Italian painter, 1556-1622;1556.0;1622.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
CALVETTI Alberto;ulan:500095180;Calvetti, Alberto;Italian (culture or style);Italian painter, died 1711;1611.0;1711.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
TITI Tiberio;ulan:500006658;Tito, Tiberio di;Italian (culture or style);Italian painter, 1573-1627;1573.0;1627.0;11.25;43.766667;11.25;43.766667;Florence;Florence;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
WEENIX Jan;ulan:500010753;Weenix, Jan;Dutch (culture or style);Dutch painter, 1642-1719;1642.0;1719.0;4.916667;52.35;4.916667;52.35;Amsterdam;Amsterdam;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
ALFIERI Benedetto;ulan:500024199;Alfieri, Benedetto Innocente;Italian (culture or style);Italian architect, 1699-1767;1699.0;1767.0;12.483333;41.9;7.666666999999999;45.05;Rome;Turin;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
SMETHAM James;ulan:500026484;Smetham, James;British (modern);English painter, printmaker, and writer, 1821-1889;1821.0;1889.0;-1.5;54.0;-0.093145;51.514248;Knaresborough;City of London;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
MORIGIA Camillo;ulan:500061783;Morigia, Camillo;Italian (culture or style);Italian architect, 1743-1795;1743.0;1795.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
STUBBS George;ulan:500032263;Stubbs, George;British (modern);English painter, 1724-1806;1724.0;1806.0;-3.0;53.4167;-0.093145;51.514248;Liverpool;City of London;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
CACCIANIGA Francesco;ulan:500009115;Caccianiga, Francesco;Italian (culture or style);Italian painter and engraver, 1700-1781;1700.0;1781.0;;;;;;;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
HOLBEIN Hans d j;ulan:500005259;Holbein, Hans;German (culture, style, period);German painter, 1497/1498-1543, active in Switzerland and England;1497.0;1543.0;10.883333;48.366667;-0.093145;51.514248;Augsburg;City of London;1.0;0.0;1.0;7.0;1.0;0.0;1.0;0.14285714285714285;0.0;0.14285714285714285
CECCHINO DA VERONA;ulan:500017370;Cecchino da Verona;Italian (culture or style);Italian painter, ca.1406-before 1480;1396.0;1480.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
DELLA ROVERE Giovanni Battista;ulan:500008408;Rovere, Giovanni Battista della;Italian (culture or style);Italian fresco painter, ca. 1561-ca. 1630;1551.0;1640.0;9.2;45.466667;;;Milan;;1.0;1.0;0.0;6.0;1.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0
VAROTTI Giuseppe;ulan:500020455;Varotti, Giuseppe;Italian (culture or style);Italian painter, 1715-1780;1715.0;1780.0;11.351;44.507;11.351;44.507;Bologna;Bologna;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
LE NAIN Antoine;ulan:500005854;Le Nain, Antoine;French (culture or style);French painter, ca.1588-1648;1578.0;1648.0;3.627137;49.563098;2.333333;48.866667;Laon;Paris;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
VACCA Flaminio;ulan:500128268;Vacca, Flaminio;Italian (culture or style);Italian sculptor of Spanish descent, 1538-1605;1538.0;1605.0;12.483333;41.9;12.483333;41.9;Rome;Rome;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
TENERANI Pietro;ulan:500008649;Tenerani, Pietro;Italian (culture or style);Italian sculptor, 1798-1869;1798.0;1869.0;;;;;;;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
RICCATI Giordano;ulan:500065969;Riccati, Giordano;Italian (culture or style);Italian architect, mathematician, and musician, 1709-1790;1709.0;1790.0;;;;;;;1.0;1.0;0.0;6.0;2.0;2.0;0.0;0.3333333333333333;0.3333333333333333;0.0
DIEU Antoine;ulan:500015116;Dieu, Antoine;French (culture or style);French painter, designer, and dealer, 1662-1727;1662.0;1727.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
TERWESTEN Augustin I;ulan:500000040;Terwesten, Augustinus;Dutch (culture or style);Dutch painter, etcher, and draftsman, 1649-1711;1649.0;1711.0;4.3;52.083333;13.4;52.516667000000005;The Hague;Berlin;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
WEST Benjamin;ulan:500026989;West, Benjamin;American (North American);American painter and draftsman, 1738-1820, active in Great Britain;1738.0;1820.0;-75.35;39.9;-0.093145;51.514248;Swarthmore;City of London;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
BUSATTI Giuseppe Carlo Antonio;ulan:500026716;Busatti, Giuseppe Carlo Antonio;Italian (culture or style);Italian architect and draftsman, 1694-after 1769;1694.0;1794.0;;;;;;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
ABONDIO Antonio;ulan:500103318;Abondio, Antonio;Italian (culture or style);Italian medalist and modeler, 1538-1591;1538.0;1591.0;11.133333;46.066667;16.3667;48.2167;Trento;Vienna;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
GAVARNI Paul;ulan:500006992;Gavarni, Paul;French (culture or style);French printmaker, illustrator, and painter, 1804-1866;1804.0;1866.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
CONFALONIERI Francesco;ulan:500050459;Confalonieri, Francesco;Italian (culture or style);Italian sculptor 1850-1925;1850.0;1925.0;;;;;;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
DA MOLIN Oreste;ulan:500053438;Molin, Oreste da;Italian (culture or style);Italian painter and sculptor, 1856-1921;1856.0;1921.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
GILLY Friedrich;ulan:500023936;Gilly, Friedrich David;German (culture, style, period);Prussian architect, 1772-1800;1772.0;1800.0;15.0;53.5;12.8667;50.2167;Goleniów County;Carlsbad;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
ISABEY Jean Baptiste;ulan:500031174;Isabey, Jean-Baptiste;French (culture or style);French painter, draftsman, and printmaker, 1767-1855;1767.0;1855.0;6.187755999999999;48.69211;2.333333;48.866667;Nancy;Paris;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
FERRETTI Giovanni Domenico;ulan:500021645;Ferretti, Giovanni Domenico;Italian (culture or style);Italian painter, 1692-1768;1692.0;1768.0;11.25;43.766667;;;Florence;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
PIRANDELLO Fausto;ulan:500119702;Pirandello, Fausto;Italian (culture or style);Italian painter, 1889-1975;1889.0;1975.0;12.483333;41.9;12.483333;41.9;Rome;Rome;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
PIERO DI CECCO;ulan:500101422;Piero di Cecco;Italian (culture or style);Italian sculptor, active ca. 1460;1420.0;1520.0;;;;;;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
DALENS Dirk II;ulan:500017048;Dalens, Dirck, II;Dutch (culture or style);Dutch landscapist, 1659-1688;1659.0;1688.0;4.916667;52.35;;;Amsterdam;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
CAULA Sigismondo;ulan:500021652;Caula, Sigismondo;Italian (culture or style);Italian painter and sculptor, 1637-1724;1637.0;1724.0;10.916667;44.666667;10.916667;44.666667;Modena;Modena;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
FERLONI Pietro;ulan:500096580;Ferloni, Pietro;Italian (culture or style);Italian tapissier, died 1770;1670.0;1770.0;;;12.483333;41.9;;Rome;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
BIANCO Bartolomeo;ulan:500043400;Bianco, Bartolomeo;Italian (culture or style);Italian architect, before 1579-1640;1550.0;1640.0;;;8.95;44.416667;;Genoa;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
IBI Sinibaldo;ulan:500020031;Ibi, Sinibaldo;Italian (culture or style);Italian painter, 1475-1550;1475.0;1550.0;;;;;;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
BERNARDI Giovanni;ulan:500054850;Bernardi, Giovanni;Italian (culture or style);Italian gem engraver and medalist, 1494-1553;1494.0;1553.0;11.8;44.316667;11.883333;44.283333;Ravenna;Faenza;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
MOLMENTI Pompeo;ulan:500019637;Molmenti, Pompeo Marino;Italian (culture or style);Italian painter, 1819-1894;1819.0;1894.0;;;;;;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
MICHEL Georges;ulan:500021197;Michel, Georges;French (culture or style);French painter, 1763-1843;1763.0;1843.0;2.333333;48.866667;2.333333;48.866667;Paris;Paris;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
MEYER Rudolf;ulan:500121204;Meyer, Rudolf Theodor;Swiss;Swiss etcher, painter, and draftsman, 1605-1638;1605.0;1638.0;8.55;47.366667;;;Zurich;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
PAERNIO Demetrio;ulan:500064880;Paernio, Demetrio;Italian (culture or style);Italian sculptor, 1851-1914;1851.0;1914.0;;;;;;;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0
